survey,variable_name,question_text
Main_Survey,Main_Survey_Q25_Size,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Size
Main_Survey,Main_Survey_Q25_Type,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Type
Main_Survey,Main_Survey_Q26,Image agreement (overall): How closely does the image you just generated match what you were imagining before you saw it? - 1 = Not at all É 7 = Almost exactly
Main_Survey,Main_Survey_Q27_1,"Image agreement subscales: Please answer the following questions, whereby 1 = Strongly disagree É 7 = Strongly agree - The scene or composition (arrangement of elements) matches my mental image."
Main_Survey,Main_Survey_Q27_2,"Image agreement subscales: Please answer the following questions, whereby 1 = Strongly disagree É 7 = Strongly agree - The overall atmosphere or style matches my mental image."
Main_Survey,Main_Survey_Q27_3,"Image agreement subscales: Please answer the following questions, whereby 1 = Strongly disagree É 7 = Strongly agree - Important details and components from my mental image are present in this image."
Main_Survey,Main_Survey_Q28,"Change in Mental Image: Please indicate how much you agree with the following statement: ""My mental image has changed compared to the mental image I had just before generating this AI-generated image."" - 1 = Not changed at all É 7 = Completely changed"
Main_Survey,Main_Survey_Q29,"If your mental image changed, what aspects changed? Please describe as accurately as possible. - Selected Choice"
Main_Survey,Main_Survey_Q29_TEXT,"If your mental image changed, what aspects changed? Please describe as accurately as possible. - other (please describe shortly) - Text"
Main_Survey,Main_Survey_Q30,Do you have any additional comments or thoughts you would like to share?
Main_Survey,Main_Survey_Q32,Please copy the prompt you used in the text box below.
Main_Survey,Main_Survey_Q33_Id,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Id
Main_Survey,Main_Survey_Q33_Name,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Name
Main_Survey,Main_Survey_Q33_Size,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Size
Main_Survey,Main_Survey_Q33_Type,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Type
Main_Survey,Main_Survey_Q34,Image agreement (overall): How closely does the new/second image you just generated match what you were imagining before you saw it? - 1 = Not at all É 7 = Almost exactly
Main_Survey,Main_Survey_Q35_1,"Image agreement subscales: Please answer the following questions, whereby 1 = Strongly disagree É 7 = Strongly agree - The scene or composition (arrangement of elements) matches my mental image."
Main_Survey,Main_Survey_Q35_2,"Image agreement subscales: Please answer the following questions, whereby 1 = Strongly disagree É 7 = Strongly agree - The overall atmosphere or style matches my mental image."
Main_Survey,Main_Survey_Q35_3,"Image agreement subscales: Please answer the following questions, whereby 1 = Strongly disagree É 7 = Strongly agree - Important details and components from my mental image are present in this image."
Main_Survey,Main_Survey_Q36,"Change in Mental Image: Please indicate how much you agree with the following statement: ""My mental image has changed compared to the mental image I had just before generating this AI-generated image."" - 1 = Not changed at all É 7 = Completely changed"
Main_Survey,Main_Survey_Q37,"If your mental image changed, what aspects changed? Please describe as accurately as possible."
Main_Survey,Main_Survey_Q38,Do you have any additional comments or thoughts you would like to share?
Main_Survey,Main_Survey_Q40,Please copy the prompt you used in the text box below.
Main_Survey,Main_Survey_Q41_Id,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Id
Main_Survey,Main_Survey_Q41_Name,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Name
Main_Survey,Main_Survey_Q41_Size,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Size
Main_Survey,Main_Survey_Q41_Type,Please download your generated image and upload it here (you can also drag and drop the file into this field). - Type
Main_Survey,Main_Survey_Q42,Image agreement (overall): How closely does the new/third image you just generated match what you were imagining before you saw it? - 1 = Not at all É 7 = Almost exactly
Main_Survey,Main_Survey_Q43_1,"Specific aspects of image agreement: Please answer the following questions, whereby 1 = Strongly disagree É 7 = Strongly agree - The scene or composition (arrangement of elements) matches my mental image."
Main_Survey,Main_Survey_Q43_2,"Specific aspects of image agreement: Please answer the following questions, whereby 1 = Strongly disagree É 7 = Strongly agree - The overall atmosphere or style matches my mental image."
Main_Survey,Main_Survey_Q43_3,"Specific aspects of image agreement: Please answer the following questions, whereby 1 = Strongly disagree É 7 = Strongly agree - Important details and components from my mental image are present in this image."
Main_Survey,Main_Survey_Q44,"Change in Mental Image: Please indicate how much you agree with the following statement: ""My mental image has changed compared to the mental image I had just before generating this AI-generated image."" - 1 = Not changed at all É 7 = Completely changed"
Main_Survey,Main_Survey_Q45,"If your mental image changed, what aspects changed? Please describe as accurately as possible."
Main_Survey,Main_Survey_Q46,Do you have any additional comments or thoughts you would like to share?
Main_Survey,Main_Survey_Q47,"Please describe your current mental image of ""[Field-target_word]""."
Main_Survey,Main_Survey_Q48,"Similarity to original: How similar is your current mental image to your original one for ""[Field-target_word]""? - 1 = Completely different É 7 = Essentially the same"
Main_Survey,Main_Survey_Q49,"Source of current image: Which best describes your current mental image of ""[Field-target_word]""?"
Main_Survey,Main_Survey_Q50,Please think about your current mental image of the word you worked on after completing all image-generation rounds. To what extent is this mental image based on your own original imagination versus the AI-generated images you saw during the task? - Please move the slider to indicate the relative contribution of your own imagination and the AI-generated images.
Main_Survey,Main_Survey_Q51,Please think about your current mental image of the word you worked on after completing all image-generation rounds. To what extent do you consider yourself versus the AI as the author of your current mental image? - Please move the slider to indicate the relative authorship of your mental image by you versus the AI.
Main_Survey,Main_Survey_Q52,"Across the entire task, how strongly did the AI-generated images change your mental images? - 1 = Not at all É 7 = Extremely strongly"
Main_Survey,Main_Survey_Q53,"Across the entire task, did you generally prefer your own mental images or the AI-generated images? - 1 = Strongly prefer my own mental images...7 = Strongly prefer AI-generated images"
Main_Survey,Main_Survey_Q54,"When your mental image changed, what type of change happened most often? - Selected Choice"
Main_Survey,Main_Survey_Q54_TEXT,"When your mental image changed, what type of change happened most often? - Other (please describe) - Text"
Main_Survey,Main_Survey_Q55,How old are you?
Main_Survey,Main_Survey_Q56,What is your gender?
Main_Survey,Main_Survey_Q57,"If you are interested in your VVIQ (Vividness of Visual Imagery Questionnaire) score and learning more about the findings of the study, you can leave me your e-mail. - Selected Choice"
Main_Survey,Main_Survey_Q57_TEXT,"If you are interested in your VVIQ (Vividness of Visual Imagery Questionnaire) score and learning more about the findings of the study, you can leave me your e-mail. - Yes please. (please write your e-mail in the text box below) - Text"
Main_Survey,Main_Survey_target_word,target_word
