pre_participant_id,Pre_Survey_Pre_Survey_Nr,Pre_Survey_StartDate,Pre_Survey_EndDate,Pre_Survey_Status,Pre_Survey_Progress,Pre_Survey_Duration,Pre_Survey_Finished,Pre_Survey_RecordedDate,Pre_Survey_DistributionChannel,Pre_Survey_UserLanguage,Pre_Survey_Q_RecaptchaScore,Pre_Survey_Q1,Pre_Survey_Q2,Pre_Survey_Q2_TEXT,Pre_Survey_Q3,Pre_Survey_Q4_1,Pre_Survey_Q4_1_TEXT,Pre_Survey_Q4_2,Pre_Survey_Q4_3,Pre_Survey_Q4_3_TEXT,Pre_Survey_Q6,Pre_Survey_Q7,Pre_Survey_Q7_TEXT,Pre_Survey_Q8,Pre_Survey_Q8_score,Pre_Survey_Q9,Pre_Survey_Q9_TEXT,Pre_Survey_Q10,Pre_Survey_Q11,Pre_Survey_Q11_TEXT,Pre_Survey_Q12,Pre_Survey_Q12_TEXT,Pre_Survey_Q13_1,Pre_Survey_Q13_1_score,Pre_Survey_Q13_2,Pre_Survey_Q13_2_score,Pre_Survey_Q13_3,Pre_Survey_Q13_3_score,Pre_Survey_Q13_4,Pre_Survey_Q13_4_score,Pre_Survey_Q13_5,Pre_Survey_Q13_5_score,Pre_Survey_Q13_6,Pre_Survey_Q13_6_score,Pre_Survey_Q14,Pre_Survey_Q14_TEXT,Pre_Survey_Q15,Pre_Survey_Q15_TEXT,Pre_Survey_Q16,Pre_Survey_Q16_score,Pre_Survey_Q17,Pre_Survey_Q17_TEXT,Pre_Survey_Q18,Pre_Survey_Q18_score,Pre_Survey_Q19,Pre_Survey_Q19_TEXT,Pre_Survey_Q20,Pre_Survey_Q20_TEXT,Pre_Survey_Q21_1,Pre_Survey_Q21_1_score,Pre_Survey_Q21_2,Pre_Survey_Q21_2_score,Pre_Survey_Q21_3,Pre_Survey_Q21_3_score,Pre_Survey_Q21_4,Pre_Survey_Q21_4_score,Pre_Survey_Q21_5,Pre_Survey_Q21_5_score,Pre_Survey_Q22,Pre_Survey_Q23,Pre_Survey_Q23_TEXT,Pre_Survey_Q24,Pre_Survey_Q25,Pre_Survey_Q26,Pre_Survey_Q27,Pre_Survey_Q28,Pre_Survey_Q29,Pre_Survey_Q30,finished_clean,followup_opt_in
PRE00148,1,28.02.26 21:33,28.02.26 21:34,IP Address,100,94,True,28.02.26 21:34,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Gesturing or acting things out,NA,No,Writing and editing text;Paraphrasing or rephrasing text;Summarizing content;Explaining complex concepts;Brainstorming ideas;Translation and language support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
PRE00127,1,01.04.26 21:10,01.04.26 21:20,IP Address,100,559,True,01.04.26 21:20,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Gesturing or acting things out,NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Translation and language support,NA,7Ð12 months,Several times per week,NA,NA,NA,ChatGPT (image generation),NA,No,Personal use / hobby;University / studies,NA,People / characters;Logos / icons / illustrations,NA,Essential priority,7,Somewhat priority,3,High priority,6,Neutral,4,Somewhat priority,3,High priority,6,Finding the right words;Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Disagree,2,"Composition (e.g., perspective, framing);I rarely specify details",NA,Somewhat difficult,5,2-3,NA,As a tool,NA,Agree,6,Neither agree nor disagree,4,Slightly agree,5,Slightly disagree,3,Slightly agree,5,100,I don't work with others,NA,Creating a logo for some projects,Match of forms and composition,including elements i have not mentioned and then i need to delete them,if an element is in the picture it is hard to get it deleted without changing the picture too much.,30,Female,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00049,1,27.02.26 07:27,27.02.26 07:44,IP Address,100,1019,True,27.02.26 07:44,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Gesturing or acting things out;Creating diagrams or schematics,NA,Yes,NA,NA,NA,Writing and editing text;Summarizing content;Translation and language support,NA,Less than 1 month,Less often,NA,NA,NA,ChatGPT (image generation),NA,No,Personal use / hobby,NA,Landscapes / environments,NA,Somewhat priority,3,Moderate priority,5,Neutral,4,Low priority,2,High priority,6,Neutral,4,Time spent on multiple iterations,NA,I write them entirely myself,NA,Strongly disagree,1,I rarely specify details,NA,Very easy,2,1,NA,As a creative partner,NA,Agree,6,Strongly agree,7,Strongly agree,7,Strongly disagree,1,Strongly agree,7,90,Joint prompt writing and iteration,NA,Help decorating my apartment,"I took a photo of my living room, and it suggested, using an image, what to add to make it feel warmer and more welcoming.","I use it once and the Image was helpful, so never fail.",Nothing,28,Female,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below);I'm interested in the study findings (please write your e-mail in the text box below),TRUE,TRUE
PRE00005,2,05.03.26 23:39,05.03.26 23:45,IP Address,100,380,True,05.03.26 23:45,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Gesturing or acting things out;Creating diagrams or schematics,NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Translation and language support;Programming help (generation or explanation);Creative writing or storytelling,NA,7Ð12 months,Monthly,NA,NA,NA,Nano Banana,NA,"Yes, subscription-based",Personal use / hobby,NA,People / characters;Logos / icons / illustrations,NA,Moderate priority,5,High priority,6,Essential priority,7,Low priority,2,Moderate priority,5,High priority,6,Finding the right words,NA,I write them entirely myself,NA,Agree,6,Lighting / color;Textelements to be displayed on the image,NA,Somewhat difficult,5,4-6,NA,As a tool,NA,Neither agree nor disagree,4,Agree,6,Slightly disagree,3,Agree,6,Disagree,2,20,Joint prompt writing and iteration,NA,i was joking with friends and we ask gemini to generate a picture of how we act with him,i ask him to picture someone going to school and he does it really well,"i don't have a time when he failed, if he failed i change my prompt",Nothing,19,Male,No thanks.,TRUE,FALSE
PRE00117,1,26.02.26 14:38,26.02.26 14:39,IP Address,100,108,True,26.02.26 14:39,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Googling,NA,No,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Brainstorming ideas;Decision support / advice;Creative writing or storytelling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
PRE00037,1,20.03.26 14:11,20.03.26 14:20,IP Address,100,509,True,20.03.26 14:20,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Googling,NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Brainstorming ideas;Translation and language support;Programming help (generation or explanation),NA,1Ð2 years,Monthly,NA,NA,NA,ChatGPT (image generation),NA,"Yes, subscription-based",University / studies,NA,Products / mockups;Logos / icons / illustrations,NA,Essential priority,7,Moderate priority,5,Essential priority,7,Somewhat priority,3,High priority,6,Essential priority,7,Finding the right words;Controlling details;Unexpected or incorrect interpretations,NA,"I write them entirely myself;I ask another AI (e.g., ChatGPT) to generate prompts;A combination of the above",NA,Somewhat agree,5,Artistic or style references;Textelements to be displayed on the image,NA,Somewhat difficult,5,4-6,NA,As a tool,NA,Strongly agree,7,Agree,6,Neither agree nor disagree,4,Slightly disagree,3,Slightly disagree,3,80,Joint discussion of goals and criteria,NA,Presentation for University --&gt; generate graphics,Background picture for a powerpoint. basic prompt,Text heavy graphics.,"boundaries are unclear. fakenews, illegal activities on the rise.",25,Male,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00107,1,20.03.26 14:12,20.03.26 14:19,IP Address,100,420,True,20.03.26 14:19,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Googling,NA,Yes,NA,NA,NA,Other (please explain shortly),everything,1Ð2 years,Weekly,NA,NA,NA,DALLáE;Nano Banana,NA,"Yes, subscription-based",Personal use / hobby;University / studies;Social media content,NA,Landscapes / environments;Logos / icons / illustrations;Scenes / storyboards /scenerios,NA,Essential priority,7,High priority,6,Essential priority,7,Not a priority,1,Moderate priority,5,High priority,6,Finding the right words;Unexpected or incorrect interpretations;Time spent on multiple iterations,NA,"I ask another AI (e.g., ChatGPT) to generate prompts",NA,Somewhat agree,5,Artistic or style references;Negative prompts (explicitly stating what should not be included),NA,Neither easy nor difficult,4,2-3,NA,As a tool,NA,Slightly agree,5,Neither agree nor disagree,4,Neither agree nor disagree,4,Slightly agree,5,Slightly disagree,3,30,I don't work with others,NA,social media post,single subject or specific objects,too many different details,consistency,23,Male,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below);I'm interested in the study findings (please write your e-mail in the text box below),TRUE,TRUE
PRE00170,1,03.03.26 17:57,03.03.26 18:09,IP Address,100,742,True,03.03.26 18:09,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Googling,NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Explaining complex concepts;Translation and language support;Decision support / advice,NA,1Ð2 years,Less often,NA,NA,NA,ChatGPT (image generation),NA,No,Personal use / hobby,NA,"Style experiments (e.g., Òin the style ofÉÓ);Others (please describe shortly)",Home decorations,High priority,6,High priority,6,Moderate priority,5,Moderate priority,5,High priority,6,Moderate priority,5,Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Somewhat agree,5,"Composition (e.g., perspective, framing)",NA,Somewhat difficult,5,4-6,NA,As a tool,NA,Agree,6,Agree,6,Agree,6,Slightly disagree,3,Slightly disagree,3,30,I don't work with others,NA,indoor design - I use it to decide which furniture could fit best,it have me an idea on how to improve my entrance at home,When you ask for too much detail,Data Safety: Its not clear what happens with your input data,28,Female,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below);I'm interested in the study findings (please write your e-mail in the text box below),TRUE,TRUE
PRE00006,1,27.02.26 20:01,28.02.26 19:23,IP Address,100,84120,True,28.02.26 19:23,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Googling,NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Brainstorming ideas;Translation and language support,NA,1Ð2 years,Monthly,NA,NA,NA,ChatGPT (image generation);Other,Canva,"Yes, occasionally",Personal use / hobby;University / studies;Professional work,NA,Logos / icons / illustrations;Others (please describe shortly),Flyers,High priority,6,Essential priority,7,High priority,6,Essential priority,7,High priority,6,Essential priority,7,Controlling details;Maintaining consistency across images,NA,I write them entirely myself,NA,Disagree,2,"Artistic or style references;Composition (e.g., perspective, framing);Negative prompts (explicitly stating what should not be included)",NA,Somewhat easy,3,4-6,NA,As a tool,NA,Slightly agree,5,Slightly disagree,3,Neither agree nor disagree,4,Slightly disagree,3,Slightly disagree,3,80,I don't work with others,NA,Creating Flyers or different marketing materials,Never but it gives good ideas and bases to work with,Almost every time. But I use it more as a inspiration an not as the finish product,"Yes, that the AI just copies the work of artists. ThatÕs also the reason I donÕt use it very often or just as a inspiration",20,Female,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00105,1,20.03.26 23:43,20.03.26 23:51,IP Address,100,487,True,20.03.26 23:51,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Googling,NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Programming help (generation or explanation),NA,7Ð12 months,Less often,NA,NA,NA,ChatGPT (image generation);DALLáE,NA,"Yes, subscription-based",Personal use / hobby,NA,People / characters;Landscapes / environments,NA,Moderate priority,5,Moderate priority,5,Low priority,2,High priority,6,Moderate priority,5,Moderate priority,5,Time spent on multiple iterations,NA,I write them entirely myself,NA,Somewhat agree,5,I rarely specify details,NA,Somewhat difficult,5,4-6,NA,As a tool,NA,Disagree,2,Disagree,2,Slightly agree,5,Slightly agree,5,Slightly agree,5,20,Joint discussion of goals and criteria,NA,When we are in a group and then we think of something funny and we create a picture of it.,For example we wanted to see one of our group member with a bold head.,When we donÔt add enough details to its prompt.,It will get harder to distinguish between a real person and a fake person. This will be very problematic in the near future!,31,Male,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00167,1,26.02.26 14:29,26.02.26 14:34,IP Address,100,321,True,26.02.26 14:34,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Googling,NA,Yes,NA,NA,NA,Writing and editing text;Summarizing content;Translation and language support;Programming help (generation or explanation),NA,7Ð12 months,Monthly,NA,NA,NA,ChatGPT (image generation);DALLáE,NA,No,Personal use / hobby;Professional work;Creative projects (art/design),NA,Logos / icons / illustrations;Photorealistic images,NA,Neutral,4,Moderate priority,5,Low priority,2,Somewhat priority,3,High priority,6,Moderate priority,5,Finding the right words;Maintaining consistency across images,NA,I use templates and adapt them;I use prompts from online communities,NA,Neither agree nor disagree,4,"Composition (e.g., perspective, framing);Lighting / color;Textelements to be displayed on the image",NA,Very easy,2,4-6,NA,As a tool;As a creative partner,NA,Disagree,2,Agree,6,Slightly agree,5,Slightly disagree,3,Disagree,2,40,Joint prompt writing and iteration,NA,Finding new ideas for logos,When it looks good/real,If its now showing what i intended,If you use peoples faces,40,Male,No thanks.,TRUE,FALSE
PRE00097,1,26.02.26 19:57,26.02.26 20:01,IP Address,100,201,True,26.02.26 20:01,anonymous,EN,1,"Yes, I agree to participate",Describing the image verbally (spoken explanation);Googling;Creating diagrams or schematics,NA,No,Writing and editing text;Information search and Q&A;Summarizing content;Brainstorming ideas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
