main_participant_id;R1_Text;R1_Function;R1_Level;R1_Vibe;R2_Text;R2_Function;R2_Level;R2_Vibe;R3_Text;R3_Function;R3_Level;R3_Vibe;;;;;;;;;;;;;;;;;;;;;;
MAIN00034;The man is 1.90 metres tall. Slim. He must have dark blond hair. Brown eyes. Athletic build. He must be friendly, he must have a good sense of humour, and he must be intelligent. He is wearing jeans, a polo shirt and trainers. Setting: in the kitchen.;F1;L2;Vibe;The man must be older. Posture: hands in his pockets;F2;L1;No Vibe;The person must be older. Around 60 years old;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00037;Euphoria A person who can barely contain their excitement. They have both hands by their head and their face shows great excitement. The person-s mouth is open. No other people are visible in the picture. The picture is intended to convey a sense of euphoria.;F1;L2;Vibe;"The person is a man. The hands are next to the head, not on the head. I also don-t want any coloured pieces of paper in the background; the background should simply be white.";F2;L2;No Vibe;The person should be a bit on the heavier side and have their hair slicked back with gel. The person is wearing a suit.;F2;L2;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00006;Cinematic, photorealistic scene of a young woman standing alone in a softly glowing environment, surrounded by neon purples, deep blues, and subtle pink highlights. The atmosphere is slightly hazy, with tiny sparkling particles floating in the air, catching the light. Everything feels slowed down and weightless, as if time is suspended. Her expression is calm yet emotionally intense, fully immersed in the moment. Soft lighting wraps around her, creating a dreamy, surreal mood with high detail, shallow depth of field, and an 85mm lens aesthetic.;F1;L3;Vibe;make it more euphoric feeling, like she is floating in a galaxy and the girl looks ethereal;F2;L1;Vibe;looks good but its not giving me a fully euphoric feeling, make it embody an out of body experience;F2;L1;Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00026;reate a surreal, calm visualization of infinity: a dark, starlit cosmos fading into deep blue and violet, with a luminous, flowing infinity symbol made of countless tiny stars and nebula-like clouds, stretching from the foreground into endless distance. The symbol should feel three-dimensional and gently glowing, with no text, no people, just a sense of endless depth and serenity, in 16:9 landscape format;F1;L2;Vibe;Refine the previous image of infinity: keep the dark, starlit cosmos and glowing infinity symbol, but make the symbol thinner, more delicate, and made of sharper, brighter stars. Increase the sense of endless depth by adding multiple fading repetitions of the infinity shape disappearing into the distance, and slightly darken the surrounding space so the symbol stands out more. Remove any distracting nebula clouds and keep the mood calm, mysterious, and expansive, in 16:9 landscape format;F2;L3;Vibe;Create a serene, awe-inspiring cosmic scene in 16:9 landscape format. Show one single infinity symbol only as the clear focal point. The symbol should be thin, delicate, and elegantly shaped, formed from crisp, sharply defined stars with a subtle glow. Each star should have a bright white core that softly fades into cool blue edges. Place the infinity symbol against a deep, dark, starlit background with a strong sense of vast empty space. Keep the background very clean, minimal, and minimally textured, with no nebula clouds, no haze, and no distracting elements. The surrounding darkness should enhance the symbol-s glow and create a feeling of calm mystery and endless space. The overall mood should be calm, expansive, refined, and slightly awe-inspiring. The composition should feel minimal, balanced, luminous, and elegant, with the single infinity symbol standing out clearly in the cosmic darkness.;F3;L3;Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00027;A calm blue lake surrounded by long green trees, with distant soft mountains in the background. A small wooden dock extends into the water with a little boat floating nearby. The sky is light blue with a few white clouds reflecting on the lake, peaceful natural scenery, soft afternoon light, realistic style.;F1;L2;Vibe;represent my mental picture more accurately. The lake is more blue and there is also a yacht and the trees are even longer and I am a bit far from the lake not that close Generate the new image.;F2;L1;No Vibe;Generate another picture to represent my mental picture more accurately.;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00044;Generate a picture of a man. He is muscular. He wears a tanktop and shorts. He is barefooted. He has a beard were the mustache is dominant. He looks tough and has sharp blue eyes and his eyes are a little flinched as if he is angry.;F1;L2;Vibe;The picture doesn't fit my internal picture of the man. This man looks way too angry he should look tough but not like that. The man has no tattoo. The background should be in a garage setting but there are weights like in a gym. His legs should be bigger overall his build is accurate. His tanktop should be white and his shorts are black.;F2;L2;No Vibe;So the picture that you've sent me looks way better. Now it is mostly the facial structure that irritates me. His beard should have the look of a 3 day beard and the mustache should have the same density as on the picture you've sent me, so that the mustache is more present that the beard. He looks very old, his face should look younger. So less wrinkles but the tough look on his face is perfect.;F2;L3;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00004;A nostalgic scene with a memory glowing in the middle, surrounded by soft blue tones and grey clouds. The feeling is calm, emotional, and dreamlike, like looking back on an old memory.;F1;L2;Vibe;"A nostalgic scene with a memory glowing in the middle (no people; just a landscape), surrounded by soft blue tones and grey clouds. The feeling is calm, emotional, and dreamlike, like looking back on an old memory.";F3;L2;Vibe;"A nostalgic scene with a memory glowing in the middle (no people; just a landscape), surrounded by soft blue tones and grey clouds. The feeling is calm, emotional, and dreamlike, like looking back on an old memory. the lake should be in the mountains sourrounded by green grass.";F3;L3;Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00033;"Generate an image for the symbol ""justice"": In a courtroom, the hammer of the judge resting on the desk. The judges are rather blurry. In the wooden room, on the background, there is an image of Justitia holding the scale of justice in her hand.";F1;L2;No Vibe;The hammer should be directly in front of the judges. It is rather a close-up image of the judges desk. The symbol of Justitia in the background is a painting rather than a statue. Generate again.;F2;L2;No Vibe;Keep the same situation. Now, the hammer stands right before the judge. The image is from a 45 degree angle from the right lower side of the judge. Generate again.;F2;L2;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00005;"I-m picturing a mirror and would like you to describe it to me as accurately as possible. It is a mirror that is approximately 1.5 m long and 75 cm wide. The white frame is quite thick (approx. 5 cm) and protrudes by about 5 cm in the direction from which you are looking at the mirror. It is an Ikea mirror leaning against a white wall; the floor is parquet and it is in a room measuring approx. 15 m_.";F1;L3;No Vibe;Thanks for the first draft! Now I-d like us to refine it together. The mirror in my mind is a bit narrower (make it about 5 cm narrower). The light is less bright and more yellowish, and the frame is curved in such a way that it-s angularly curved and sticks out slightly.;F2;L3;No Vibe;It doesn't look as good as before. Go back to the previous image for reference, remove the curvature - no curtains in the background, the wall is white and the light is just a little darker (but not yellowish).;F4;L2;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00038;I imagine a picture. The picture should resemble my feeling of nostalgia. I will give you some descriptions of my mental image. I try to keep them as precise as possible. I need you to recreate what I tell you. a young man sitting on a hill, in the grass. He's neither very bulky nor extremely slim, but has rather a normal stature. He's wearing a hoodie without a hood. It's a lighty grey. The grass is green. Although the grass has not been mowed, the grass is quite short. The young man looks down on a small city. The city is rather dark but there are some sparkles of light created by some streetlights. The city borders an ocean. Time of day is sunset, the sun is already very low, so the sky is an intense red-orange straight on the horizon. Further upwards, close to the upper end of the picture, the colors of the sky turn into dark purple. No clouds, but two birds chase each other. Close to the person sitting on the hill, but above him. They're probably 5-10m in front/above him. The feeling of the picture is in a way melancholic but at the same time happy. Recreate the picture. If you have any questions, ask them so I can clarify them.;F1;L3;Vibe;The image is already very good, and I want to keep many of its elements. The only things I want to change are the orientation of the image and the addition of a few elements. The image is currently portrait orientation, but I want it in landscape orientation-A4 proportions. The scene should be surrounded by mountains, meaning I want the young man to be sitting on a hill in a wide valley. The foothills of the mountains surround the city, which lies on a plain right by the sea. Also, the birds should be flying from right to left, and the young man should be sitting in the center of the image.;F2;L3;No Vibe;Make it look more like a straight coastline. And the birds should fly from the right hand side of the picture to the left hand side. Into the sun. The birds should be on the right hand side of the picture above the mountains but in the same distance to the man as before.;F2;L2;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00036;create an image of a wig: no background, just the wig (like product photos in shops). Long hair, with fringe, straight with soft waves brown hair with elegant blonde highlights, slightly turned to the side, 3D;F1;L2;No Vibe;tilt wig slightly upward and a tiny bit to the front, make both sides of hair equally long, a bit less wavy and fringe more loose;F2;L1;No Vibe;please remove the background again. no vignette;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00010;generate an image of an margarita in a typical glass with ice crust, a lime as deco and it is so cold that the glass gets icy.;F1;L1;No Vibe;make the glass a bit more esthetic, is should be slim;F2;L1;No Vibe;there should be no limes in the glass. just keep the decorative slice at the glass and nothing in the liquid.;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00013;Can you generate an image of Justice ? a statue of lady justice, all in gold and with the balance in the right hand and a towel around the left arm;F1;L1;No Vibe;Make it so that the photo is taken from a bit lower, looking up at the statue. Remove sword and book;F2;L1;No Vibe;Change the left arm so that it is a bit more in front, do not change anything else;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00025;generate an image of a blond lean woman with fair skin laying on the her grey couch in her living room in front of her flatscreen tv, watching a series on netflix. the walls are white, the floor is black tile with a brown carpet in front of the couch. the couch is slightly on the carpet. the angle from which i visualize this is from the back of the couch. there is a window in the wall to the left. there is a black sideboard underneath the tv.;F1;L3;No Vibe;change the view so that the view is directly behind the couch. so that the couch and tv etc. are alligned in the middle of the picture so to say. the lady needs to be wearing a white hoodie and sweatpants.;F2;L2;No Vibe;move the lamp back to the left side of the tv, next to the plant. add the grey curtains again to the window and change the carpet so it's a dark brown.;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00022;Create an image of a white microscope with a black stage;F1;L1;No Vibe;Create an image of a completely white microscope in which only the stage is black;F3;L1;No Vibe;I-m designing a microscope that-s completely white, with only the stage being black;F3;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00043;semi-detached house from the front with a metal fence separating the small path leading to the house. the white house has two brown doors with a small square window turned 45- on its axis. when you enter the house you do not directly enter the house but there is a small room that comes out of the house with a small roof over it.;F1;L2;No Vibe;Ok not to far from what i was thinking. similar to this but you see the whole house (only two houses are attached no a whole row of houses) and there is more grass in front of the house only a small bath going to the house. ;F2;L1;No Vibe;ok very nice. the big roof has to be the same side as the smaller roofs below (so you have to turn it on its axis 90- And there are steps leading to the doors. There is only a fence between the two doors that goes all the way to the person looking at the house;F2;L2;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00015;A vibrant, rebel-run city street filled with bold murals and hand-painted signs shouting for freedom. People are trading supplies at a free market and fixing things together;F1;L2;No Vibe;Make it a more open space. Not tight streets;F2;L1;No Vibe;Add more women;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00001;Draw me a steering wheel which is black and from the brand opel. Just the steering wheel and no surroundings. It is from my perspective as a driver;F1;L1;No Vibe;Please add more details so that it looks like i am sitting in the car and holding the steering wheel with both hands. So it-s not just the steering wheel but i sit in the car, hold it and also add the other details which are usually in the car. But focus is on the steering wheel and not what is outside;F2;L2;No Vibe;Leave the inside exactly like this but add an atmosphere outside of the car. No details just a slightly atmosphere. It is summer outside, a bit green and i am driving in the nature;F2;L2;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00020;I imagine wisdom as an old person with calm eyes holding a book. Around them it is quiet and warm, with soft light. The mood feels calm and safe.;F1;L1;Vibe;I wasn't picturing Santa Claus, but another wise man. Please make the setting less dark and more modern. Create a new image for me using this information.;F3;L1;No Vibe;A wise man doesn't necessarily have to be old. But what he absolutely must have, in my opinion, is glasses. His appearance should be that of a wise man. His demeanor should convey wisdom and be shaped by experience. The background information is fine so far. With this information, I can form a further impression.;F2;L3;Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00019;Create a highly realistic first-person perspective image from the driver-s seat of an Alfa Romeo. The main focus is a brown wooden steering wheel with the Alfa Romeo logo clearly visible in the center. The steering wheel is mounted inside the car, and both of my hands are gripping it naturally at approximately the 9 and 3 o-clock positions. The shot should feel immersive and authentic, as if I am the driver looking down slightly at the wheel. The interior of the Alfa Romeo should be visible in the background, but kept slightly secondary so the steering wheel remains the clear focal point. The entire outside color of the car is red. Inside it is black leather: the car interior accents are black, the background is black, and through the windshield a highway is visible outside. The composition should be cinematic, clean, and visually striking, with realistic lighting, detailed textures, and sharp focus on the steering wheel and hands. No extra hands, no distorted fingers, no blurry logo, no floating steering wheel, no unrealistic dashboard, no incorrect car branding, no cartoon style, no low detail, no text overlays, no watermark.;F1;L3;No Vibe;Edit the existing image with these precise adjustments while keeping the original first-person driving perspective and composition: - Replace the steering wheel badge with an accurate, realistic Alfa Romeo logo, closely matching the official design, with correct shape, colors, proportions, and fine details. The logo must look authentic and clean, not stylized or invented. - Remove the black business shirt from the driver. Since only the forearms and hands are visible, there should be no visible clothing at the wrists or forearms. Show natural bare skin only. - Replace the black pants with blue jeans, visible in a realistic and natural way from the driver-s seated perspective. Keep the brown wooden steering wheel, the hands gripping the wheel, the Alfa Romeo interior, and the red background / red highway atmosphere. Preserve a highly realistic photographic style, with natural anatomy, sharp focus, and consistent lighting. No fake or distorted logo, no extra fingers, no deformed hands, no visible shirt cuffs or sleeves, no black pants, no unrealistic textures, no cartoon look, no blurry details, no incorrect branding, no warped steering wheel.;F2;L3;No Vibe;Edit the existing image and adjust only the steering wheel logo text. Keep the image exactly as it is otherwise. Replace the current incorrect text on the center emblem with the words -ALFA ROMEO- in clear, accurate, uppercase lettering. The text must be curved in a circular path around the inner logo, following the natural round shape of the badge. Make the typography look clean, balanced, realistic, and consistent with an authentic Alfa Romeo emblem. Ensure the spacing, alignment, and curvature of the text are precise and visually natural. Do not change the hands, steering wheel, interior, jeans, perspective, lighting, or background. Only correct the logo text so the badge looks polished, realistic, and accurate. No extra text, no misspelling, no warped letters, no uneven curve, no distorted logo, no changes to composition, no blurry badge, no fake typography.;F2;L3;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00024;I picture someone lying on a sofa in a quiet room, surrounded by blankets and snacks. The colors are warm and soft, like beige and light brown, and the atmosphere feels slow and unmotivated, generate me an imagine of that.;F1;L2;Vibe;I imagine a person lying on a couch all day, scrolling on their phone. The room is quiet, with soft, dull colors and no sense of urgency, generat me an image of that;F3;L1;Vibe;much warmer tones of colours and she has a typical messy outfit on, generate it new for me;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00017;Create an image of a frozen margarita. The drink is pale yellowish in a clear cocktail glass that has a skinny stem. On the rim of the glass there is a tajin coating and one slice of a lime. The background is empty, just white space.;F1;L2;No Vibe;the glass of the stem should be skinnier;F2;L1;No Vibe;the image needs to be a bit softer and fainter, not as real;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00035;Picture the following scene: A carnival wig in purple, and the woman wearing the wig is posing for a photo for her colleague. The whole outfit is colourful for carnival.;F1;L1;No Vibe;The photo was taken at home whilst we were getting ready, not at the carnival itself. So the woman in the photo should be happy, but not quite that happy.;F2;L1;No Vibe;"The picture is too perfect; it should be more realistic.";F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00046;"Generate an image to replicate my description of the word ""wisdom"". Imagine a subject - male - at a crossroad in the forest with 2 distinct paths, one may seem longer, or bendier, just make them a little bit different. Above the forest is a blue sky in which an older version of the subject's face is blended into the blue (40-50% transparent), and it is this face who is guiding/making the decision for the subject, as if guiding him through life. The paths therefore represent decisions one makes, so the image is an abstract representation of Wisdom.";F1;L3;Vibe;Regenerate the image with the same basic elements, but with some changes. I want the face in the sky to be more subtle and blended into the sky colours (like a starwars force ghost). So still present and clear, but as if the face is choosing to step into the background. Zoom the picture out slightly too so that the 2 roads become more distinct, for example one leads into the forest as above, the other leads to another 2 crossroads, symbolising more choices ahead;F3;L2;Vibe;Regenerate the same image, keeping the main elements with a few key changes: I want the face to be completely blue/transparent, so no skin tones present - it is really like a mental ghost overlooking the subject. Keep the colour palette on the trees, but make the left side road a bit darker and more mysterious - doesn't ned to be scary just more ambiguous to represent that decision;F2;L3;Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00040;Draw a picture of a four-leaf clover. The clover is growing in a garden where the grass has been cut very short. A brown wooden fence can be seen in the background.;F1;L1;No Vibe;I want the cloverleaf to be bigger. The angle should be steeper. There shouldn't be a gap in the fence;F2;L1;No Vibe;Make the picture more realistic, so that it looks like a real photo;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
